Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
1,Qwen3.5-27B (Prompt),18.53%,2.00%,2.00%,2.00%,35.05%,25.16%,29.03%,50.97%
2,Qwen3.5-4B (Prompt),15.44%,4.00%,4.00%,4.00%,26.88%,12.90%,38.71%,29.03%
3,Qwen3.5-9B (Prompt),13.91%,0.50%,0.00%,1.00%,27.31%,21.29%,27.10%,33.55%
4,Qwen3-4B-Instruct-2507 (Prompt),10.54%,0.00%,0.00%,0.00%,21.08%,10.32%,11.61%,41.29%
5,xLAM-2-32b-fc-r (FC),9.14%,0.00%,0.00%,0.00%,18.28%,7.10%,9.68%,38.06%
6,Qwen3-8B (Prompt),9.10%,2.50%,3.00%,2.00%,15.70%,7.10%,5.81%,34.19%
7,Mistral-Small-3.2-24B (Prompt),9.08%,13.00%,14.00%,12.00%,5.16%,5.81%,5.16%,4.52%
8,xLAM-2-8b-fc-r (FC),9.03%,0.00%,0.00%,0.00%,18.06%,3.23%,21.29%,29.68%
9,xLAM-2-70b-fc-r (FC),7.31%,0.00%,0.00%,0.00%,14.62%,2.58%,12.26%,29.03%
10,Qwen3-30B-A3B-Instruct-2507 (Prompt),6.67%,0.00%,0.00%,0.00%,13.33%,5.81%,12.90%,21.29%
11,xLAM-2-3b-fc-r (FC),5.70%,0.00%,0.00%,0.00%,11.40%,5.81%,7.74%,20.65%
12,Phi-4-mini-instruct (Prompt),5.48%,0.00%,0.00%,0.00%,10.97%,11.61%,8.39%,12.90%
13,Ministral-3-3B-Instruct-2512 (Prompt),4.62%,4.50%,5.00%,4.00%,4.73%,5.81%,3.87%,4.52%
14,Hermes-3-Llama-3.1-8B (Prompt),4.59%,1.00%,1.00%,1.00%,8.17%,3.23%,10.32%,10.97%
15,A.X-4.0-Light (Prompt),3.66%,0.00%,0.00%,0.00%,7.31%,5.81%,5.81%,10.32%
16,EXAONE-4.0-1.2B (Prompt),1.90%,1.00%,1.00%,1.00%,2.80%,1.29%,3.87%,3.23%
17,xLAM-2-1b-fc-r (FC),1.40%,0.00%,0.00%,0.00%,2.80%,1.94%,5.16%,1.29%
