Rank,Model,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=markdown&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=experimental
1,A.X-4.0-Light (Prompt),71.5,23.85,46.00%,58.50%,36.50%,49.00%,51.50%,25.00%,55.00%,48.50%,46.00%,64.00%,66.00%,71.50%,0.00%,0.00%,0.00%,40.50%,22.50%,49.50%,0.50%,0.00%,0.50%,44.00%,19.00%,67.00%,27.00%,42.00%
2,Phi-4-mini-instruct (Prompt),70.0,30.88,49.00%,54.00%,39.50%,68.50%,63.00%,69.50%,0.00%,1.00%,2.50%,69.50%,66.00%,67.00%,1.50%,0.00%,1.50%,2.00%,3.50%,3.00%,1.00%,0.50%,1.00%,3.00%,6.50%,6.00%,70.00%,67.00%
3,Hermes-3-Llama-3.1-8B (Prompt),68.0,22.78,69.50%,68.50%,64.50%,69.50%,71.00%,67.00%,68.50%,68.50%,76.00%,66.00%,63.50%,75.50%,21.50%,11.00%,8.00%,54.50%,55.00%,36.50%,26.00%,10.00%,8.50%,50.00%,45.50%,48.50%,65.00%,56.00%
4,Qwen3.5-4B (Prompt),48.0,16.05,80.50%,78.50%,80.00%,78.00%,73.50%,77.00%,77.00%,72.50%,78.00%,75.50%,73.50%,78.00%,59.00%,59.00%,46.00%,73.00%,71.00%,72.50%,38.50%,62.50%,50.00%,32.50%,32.50%,35.00%,77.50%,65.00%
5,EXAONE-4.0-1.2B (Prompt),42.5,12.06,30.50%,13.50%,21.00%,11.00%,0.50%,1.50%,1.00%,6.50%,0.00%,34.00%,42.50%,24.00%,2.50%,0.50%,2.00%,1.50%,9.50%,0.00%,0.00%,0.00%,0.00%,0.00%,8.00%,3.00%,8.00%,18.50%
6,EXAONE-4.0-32B (Prompt),32.5,9.35,71.50%,76.00%,72.50%,78.50%,76.50%,78.00%,55.00%,66.00%,50.50%,67.50%,73.00%,69.00%,62.50%,56.50%,67.50%,53.50%,57.50%,64.00%,65.50%,46.00%,68.50%,76.50%,72.00%,73.50%,78.00%,78.00%
7,Qwen3-4B-Instruct-2507 (Prompt),19.5,5.41,80.50%,82.00%,81.00%,77.00%,78.50%,79.50%,70.00%,72.50%,81.00%,75.50%,75.00%,81.50%,69.00%,71.50%,73.50%,62.50%,65.50%,68.50%,76.00%,72.50%,75.50%,70.00%,67.50%,75.00%,80.50%,79.00%
8,A.X-4.0 (Prompt),18.0,4.9,76.00%,78.00%,75.50%,73.00%,75.00%,71.50%,80.00%,80.50%,82.00%,80.50%,80.00%,81.50%,72.50%,75.50%,81.50%,75.00%,75.50%,82.50%,64.50%,71.50%,77.50%,65.00%,71.00%,75.50%,70.00%,73.00%
9,Qwen3-30B-A3B-Instruct-2507 (Prompt),17.5,4.58,81.00%,82.00%,83.50%,81.00%,82.50%,84.00%,77.50%,76.50%,81.50%,79.00%,79.00%,82.00%,76.50%,76.50%,81.00%,77.00%,76.00%,81.00%,66.50%,71.50%,75.00%,69.50%,71.00%,75.00%,82.50%,81.00%
10,Qwen3-8B (Prompt),16.5,4.66,82.00%,78.00%,79.50%,81.50%,79.00%,80.00%,82.50%,78.00%,79.50%,81.00%,77.50%,79.50%,70.00%,73.00%,76.00%,73.50%,73.50%,77.00%,66.00%,70.00%,75.00%,68.00%,70.00%,73.00%,79.00%,81.00%
11,Qwen3.5-9B (Prompt),13.5,3.57,82.00%,81.50%,82.00%,74.00%,69.00%,70.00%,78.50%,79.50%,82.50%,78.50%,78.50%,82.00%,76.50%,76.00%,77.00%,77.50%,75.50%,78.50%,78.50%,73.00%,76.50%,77.00%,73.00%,78.50%,73.00%,77.50%
12,Qwen3.5-27B (Prompt),11.0,3.01,83.00%,82.00%,80.50%,83.50%,82.50%,83.50%,84.00%,84.50%,85.00%,82.50%,85.50%,85.00%,80.50%,77.00%,80.50%,79.00%,74.50%,79.00%,81.50%,76.00%,83.00%,80.50%,76.50%,84.00%,84.50%,81.50%
13,Mistral-Small-3.2-24B (Prompt),0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14,Ministral-3-3B-Instruct-2512 (Prompt),0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15,xLAM-2-70b-fc-r (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,xLAM-2-1b-fc-r (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Llama-3.2-3B-Instruct (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,xLAM-2-8b-fc-r (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,xLAM-2-3b-fc-r (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,xLAM-2-32b-fc-r (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Llama-3.3-70B-Instruct (FC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
