Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Qwen3.5-27B (Prompt),81.72%,81.72%,89.15%,79.77%,93.75%,79.17%,72.51%,93.75%
2,Qwen3-8B (Prompt),79.50%,79.50%,82.95%,78.63%,87.50%,75.00%,75.45%,87.50%
3,Qwen3-30B-A3B-Instruct-2507 (Prompt),78.83%,78.83%,84.11%,77.68%,87.50%,66.67%,63.01%,93.75%
4,xLAM-2-32b-fc-r (FC),75.35%,75.35%,82.17%,74.55%,43.75%,58.33%,75.34%,81.25%
5,Qwen3.5-4B (Prompt),75.28%,75.28%,82.95%,73.50%,75.00%,70.83%,35.97%,81.25%
6,Qwen3-4B-Instruct-2507 (Prompt),74.91%,74.91%,77.13%,74.64%,81.25%,58.33%,66.74%,87.50%
7,xLAM-2-70b-fc-r (FC),72.02%,72.02%,76.74%,71.23%,68.75%,58.33%,74.77%,75.00%
8,xLAM-2-8b-fc-r (FC),68.17%,68.17%,75.58%,66.86%,56.25%,54.17%,64.14%,87.50%
9,Hermes-3-Llama-3.1-8B (Prompt),63.88%,63.88%,67.44%,62.96%,81.25%,54.17%,20.93%,87.50%
10,xLAM-2-3b-fc-r (FC),63.14%,63.14%,74.03%,60.78%,62.50%,50.00%,57.69%,87.50%
11,Qwen3.5-9B (Prompt),62.92%,62.92%,70.16%,60.68%,75.00%,75.00%,54.41%,81.25%
12,Phi-4-mini-instruct (Prompt),61.21%,61.21%,65.50%,60.40%,56.25%,54.17%,59.39%,75.00%
13,xLAM-2-1b-fc-r (FC),54.77%,54.77%,68.99%,52.14%,43.75%,25.00%,64.25%,87.50%
14,A.X-4.0-Light (Prompt),19.25%,19.25%,30.23%,16.62%,25.00%,12.50%,87.56%,25.00%
15,EXAONE-4.0-1.2B (Prompt),3.70%,3.70%,1.94%,4.27%,0.00%,0.00%,83.03%,18.75%
16,Mistral-Small-3.2-24B (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
17,Ministral-3-3B-Instruct-2512 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
