Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,xLAM-2-70b-fc-r (FC),70.62%,82.50%,76.00%,74.00%,50.00%
2,xLAM-2-32b-fc-r (FC),69.25%,81.50%,72.00%,67.50%,56.00%
3,xLAM-2-8b-fc-r (FC),68.50%,77.50%,74.00%,65.00%,57.50%
4,xLAM-2-3b-fc-r (FC),58.75%,71.50%,59.50%,58.50%,45.50%
5,Qwen3.5-27B (Prompt),53.00%,66.00%,55.00%,44.00%,47.00%
6,xLAM-2-1b-fc-r (FC),34.88%,43.00%,34.00%,36.50%,26.00%
7,Qwen3.5-9B (Prompt),32.50%,40.00%,42.00%,27.00%,21.00%
8,Qwen3-8B (Prompt),31.13%,36.00%,35.50%,27.50%,25.50%
9,Qwen3-30B-A3B-Instruct-2507 (Prompt),21.75%,35.50%,19.00%,14.00%,18.50%
10,Qwen3-4B-Instruct-2507 (Prompt),18.62%,23.50%,20.50%,16.00%,14.50%
11,Qwen3.5-4B (Prompt),16.25%,18.00%,19.50%,12.00%,15.50%
12,Hermes-3-Llama-3.1-8B (Prompt),7.00%,10.50%,6.00%,6.00%,5.50%
13,Phi-4-mini-instruct (Prompt),2.75%,4.50%,2.50%,1.50%,2.50%
14,A.X-4.0-Light (Prompt),0.12%,0.00%,0.00%,0.50%,0.00%
15,Mistral-Small-3.2-24B (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
16,EXAONE-4.0-1.2B (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
17,Ministral-3-3B-Instruct-2512 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
