Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3.5-27B (Prompt),90.15%,90.15%,79.58%,96.75%,64.00%,78.00%,97.50%,91.50%,92.00%,80.00%
2,xLAM-2-32b-fc-r (FC),89.85%,89.85%,80.42%,95.25%,64.00%,82.00%,94.00%,93.50%,91.50%,85.00%
3,Qwen3-8B (Prompt),89.44%,89.44%,76.25%,94.75%,64.00%,70.00%,95.50%,96.00%,90.00%,86.25%
4,xLAM-2-70b-fc-r (FC),88.44%,88.44%,78.25%,94.75%,64.00%,76.00%,94.00%,92.00%,89.50%,83.33%
5,Qwen3-30B-A3B-Instruct-2507 (Prompt),88.44%,88.44%,79.25%,95.75%,62.00%,80.00%,92.00%,94.50%,88.00%,84.58%
6,Qwen3-4B-Instruct-2507 (Prompt),86.56%,86.56%,77.25%,93.75%,64.00%,74.00%,91.00%,88.50%,89.50%,85.00%
7,Qwen3.5-4B (Prompt),86.44%,86.44%,78.25%,93.75%,61.00%,80.00%,95.00%,85.50%,87.00%,33.75%
8,xLAM-2-8b-fc-r (FC),84.75%,84.75%,74.00%,93.00%,65.00%,64.00%,93.00%,88.00%,84.00%,62.08%
9,Qwen3.5-9B (Prompt),83.56%,83.56%,71.75%,83.25%,54.00%,78.00%,86.50%,90.50%,85.50%,65.83%
10,xLAM-2-3b-fc-r (FC),83.44%,83.44%,75.25%,91.75%,62.00%,72.00%,92.00%,86.50%,80.00%,68.75%
11,Hermes-3-Llama-3.1-8B (Prompt),81.92%,81.92%,75.67%,90.00%,59.00%,78.00%,92.00%,82.50%,77.50%,30.42%
12,Phi-4-mini-instruct (Prompt),80.27%,80.27%,73.58%,90.75%,62.00%,68.00%,85.50%,78.00%,84.00%,45.83%
13,xLAM-2-1b-fc-r (FC),69.08%,69.08%,64.83%,83.50%,53.00%,58.00%,82.50%,73.50%,55.50%,63.75%
14,A.X-4.0-Light (Prompt),40.23%,40.23%,39.42%,67.25%,35.00%,16.00%,55.00%,34.00%,32.50%,90.83%
15,EXAONE-4.0-1.2B (Prompt),1.50%,1.50%,0.50%,1.50%,0.00%,0.00%,5.50%,0.00%,0.00%,92.08%
16,Mistral-Small-3.2-24B (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
17,Ministral-3-3B-Instruct-2512 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
