Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,48.97%,xLAM-2-32b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-2-32b-fc-r,N/A,N/A,N/A,N/A,89.85%,80.42%,94.00%,93.50%,91.50%,75.35%,82.17%,74.55%,43.75%,58.33%,69.25%,81.50%,72.00%,67.50%,56.00%,0.00%,0.00%,0.00%,18.28%,7.10%,9.68%,38.06%,81.25%,80.17%,N/A,N/A,Salesforce,cc-by-nc-4.0
2,48.12%,Qwen3.5-27B (Prompt),https://huggingface.co/Qwen/Qwen3.5-27B,N/A,N/A,N/A,N/A,90.15%,79.58%,97.50%,91.50%,92.00%,81.72%,89.15%,79.77%,93.75%,79.17%,53.00%,66.00%,55.00%,44.00%,47.00%,2.00%,2.00%,2.00%,35.05%,25.16%,29.03%,50.97%,93.75%,76.26%,11.0,3.01,Qwen,apache-2.0
3,48.06%,xLAM-2-70b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-70b-fc-r,N/A,N/A,N/A,N/A,88.44%,78.25%,94.00%,92.00%,89.50%,72.02%,76.74%,71.23%,68.75%,58.33%,70.62%,82.50%,76.00%,74.00%,50.00%,0.00%,0.00%,0.00%,14.62%,2.58%,12.26%,29.03%,75.00%,79.05%,N/A,N/A,Salesforce,cc-by-nc-4.0
4,45.77%,xLAM-2-8b-fc-r (FC),https://huggingface.co/Salesforce/Llama-xLAM-2-8b-fc-r,N/A,N/A,N/A,N/A,84.75%,74.00%,93.00%,88.00%,84.00%,68.17%,75.58%,66.86%,56.25%,54.17%,68.50%,77.50%,74.00%,65.00%,57.50%,0.00%,0.00%,0.00%,18.06%,3.23%,21.29%,29.68%,87.50%,63.11%,N/A,N/A,Salesforce,cc-by-nc-4.0
5,40.88%,xLAM-2-3b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-2-3b-fc-r,N/A,N/A,N/A,N/A,83.44%,75.25%,92.00%,86.50%,80.00%,63.14%,74.03%,60.78%,62.50%,50.00%,58.75%,71.50%,59.50%,58.50%,45.50%,0.00%,0.00%,0.00%,11.40%,5.81%,7.74%,20.65%,87.50%,63.22%,N/A,N/A,Salesforce,cc-by-nc-4.0
6,37.96%,Qwen3-8B (Prompt),https://huggingface.co/Qwen/Qwen3-8B,N/A,N/A,N/A,N/A,89.44%,76.25%,95.50%,96.00%,90.00%,79.50%,82.95%,78.63%,87.50%,75.00%,31.13%,36.00%,35.50%,27.50%,25.50%,2.50%,3.00%,2.00%,15.70%,7.10%,5.81%,34.19%,87.50%,80.85%,16.5,4.66,Qwen,apache-2.0
7,35.97%,Qwen3.5-9B (Prompt),https://huggingface.co/Qwen/Qwen3.5-9B,N/A,N/A,N/A,N/A,83.56%,71.75%,86.50%,90.50%,85.50%,62.92%,70.16%,60.68%,75.00%,75.00%,32.50%,40.00%,42.00%,27.00%,21.00%,0.50%,0.00%,1.00%,27.31%,21.29%,27.10%,33.55%,81.25%,60.12%,13.5,3.57,Qwen,apache-2.0
8,33.54%,Qwen3-4B-Instruct-2507 (Prompt),https://huggingface.co/Qwen/Qwen3-4B-Instruct-2507,N/A,N/A,N/A,N/A,86.56%,77.25%,91.00%,88.50%,89.50%,74.91%,77.13%,74.64%,81.25%,58.33%,18.62%,23.50%,20.50%,16.00%,14.50%,0.00%,0.00%,0.00%,21.08%,10.32%,11.61%,41.29%,87.50%,75.87%,19.5,5.41,Qwen,apache-2.0
9,33.30%,Qwen3-30B-A3B-Instruct-2507 (Prompt),https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507,N/A,N/A,N/A,N/A,88.44%,79.25%,92.00%,94.50%,88.00%,78.83%,84.11%,77.68%,87.50%,66.67%,21.75%,35.50%,19.00%,14.00%,18.50%,0.00%,0.00%,0.00%,13.33%,5.81%,12.90%,21.29%,93.75%,73.80%,17.5,4.58,Qwen,apache-2.0
10,30.71%,Qwen3.5-4B (Prompt),https://huggingface.co/Qwen/Qwen3.5-4B,N/A,N/A,N/A,N/A,86.44%,78.25%,95.00%,85.50%,87.00%,75.28%,82.95%,73.50%,75.00%,70.83%,16.25%,18.00%,19.50%,12.00%,15.50%,4.00%,4.00%,4.00%,26.88%,12.90%,38.71%,29.03%,81.25%,34.86%,48.0,16.05,Qwen,apache-2.0
