model_id,display_name,group,h,r,p,a,o,h_bar,a_bar,c
skt/A.X-4.0-Light,A.X-4.0-Light (7B),kr,,0.5425,0.9543,0.5528,0.9739,0.4623,0.3844,0.0
skt/A.X-4.0,A.X-4.0 (72B),kr,,0.8996,0.6848,0.7662,0.9858,0.7477,0.5555,0.08
LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,kr,,0.8272,0.3807,0.7011,0.9954,0.6087,0.3609,0.04
LGAI-EXAONE/EXAONE-4.0-32B,EXAONE-4.0-32B,kr,,0.9274,0.5888,0.8373,0.9968,0.6933,0.5271,0.08
kakaocorp/kanana-2-30b-a3b-instruct,Kanana-2-30B,kr_check,,0.1264,0.9984,0.2337,0.969,0.085,0.085,0.0
kakaocorp/kanana-2-30b-a3b-thinking-2601__nothink,Kanana-2-Think (NT),kr_check,,0.1264,1.0,0.2337,0.969,0.085,0.085,0.0
DragonLLM/Llama-Open-Finance-8B,Llama-Finance-8B,finance,,0.7634,0.7748,0.6662,0.9247,0.793,0.5057,0.08
DragonLLM/Qwen-Open-Finance-R-8B,Qwen-Finance-R-8B,finance,,0.8443,0.8813,0.774,0.9815,0.7677,0.5032,0.06
NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-8B,general,,0.6526,0.7777,0.5725,0.9893,0.638,0.452,0.06
openai/gpt-oss-20b__nothink,gpt-oss-20B (NT),general,,0.8368,0.5533,0.7989,0.9853,0.675,0.5356,0.02
openai/gpt-oss-120b__nothink,gpt-oss-120B (NT),general,,0.8296,0.4914,0.7942,0.9841,0.712,0.5792,0.0
meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,general,,0.6233,0.4415,0.5175,0.836,0.713,0.4472,0.02
meta-llama/Llama-3.3-70B-Instruct,Llama-3.3-70B,general,,0.9092,0.7978,0.8028,0.9898,0.801,0.4771,0.04
mistralai/Ministral-3-3B-Instruct-2512,Ministral-3-3B,general,,0.8937,0.5213,0.7688,0.9869,0.2303,0.2043,0.0
mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,general,,0.9106,0.6359,0.8114,0.9927,0.2763,0.2335,0.0
microsoft/Phi-4-mini-instruct,Phi-4-mini,general,,0.6236,0.8235,0.5721,0.9789,0.565,0.3341,0.0
Qwen/Qwen3.5-4B__nothink,Qwen3.5-4B (NT),general,,0.8797,0.4906,0.823,0.994,0.706,0.5377,0.04
Qwen/Qwen3.5-27B__nothink,Qwen3.5-27B (NT),general,,0.9543,0.5008,0.8948,0.9972,0.744,0.5759,0.06
Qwen/Qwen3.6-27B,Qwen3.6-27B,general,,0.9614,0.4707,0.9083,0.9972,0.726,0.5594,0.04
Qwen/Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,general,,0.9554,0.482,0.9031,0.9991,0.695,0.5616,0.02
Salesforce/xLAM-2-3b-fc-r,xLAM-2-3B,general,,0.6468,0.6817,0.5807,0.9844,0.5127,0.3408,0.02
Salesforce/Llama-xLAM-2-70b-fc-r,xLAM-2-70B,general,,0.8555,0.7401,0.7922,0.9948,0.811,0.4984,0.06
google/gemma-4-E4B-it,Gemma-4-E4B,general,,0.8227,0.8836,0.7411,0.996,0.6927,0.5102,0.02
google/gemma-4-31B-it,Gemma-4-31B,general_check,,0.1264,1.0,0.2337,0.969,0.085,0.085,0.0
