config_id,label,group,regulatory_h_mean,n_regulatory_categories,n_regulatory_cases,analysis_h_mean,n_analysis_categories,n_analysis_cases,gap,cat_analyze_channel_risk,cat_analyze_cross_institution_flow,cat_analyze_network,cat_compare_periods,cat_detect_aml_patterns,cat_detect_ctr_candidates,cat_detect_dormant_reactivation,cat_detect_monitoring_alerts,cat_detect_smurfing_network,cat_get_account_profile,cat_get_aml_glossary,cat_get_fraud_type_summary,cat_get_institution_report,cat_get_receiving_account_profile,cat_get_statistics,cat_get_trend_analysis,cat_lookup_fiu_reference_types,cat_predict_fraud,cat_query_transactions,cat_rank_risky_transactions,cat_score_account_risk,cat_validate_str_fields,n_configs,configs_missing_from_28
hermes-3-8b,Hermes-3-8B,General-Purpose,0.2895,4,131,0.683,18,958,0.3936,0.7455,0.8,0.84,0.8571,0.54,0.5179,0.7455,0.7455,0.6545,0.68,0.4,0.4107,0.52,0.24,0.3636,1.0,0.2,0.9636,0.6885,1.0,0.5,0.04,28,
qwen35-4b-nt,Qwen3.5-4B (NT),General-Purpose,0.7954,4,131,0.9346,18,958,0.1392,1.0,0.98,0.96,0.9821,0.94,0.8214,0.9818,0.9091,0.8364,1.0,0.72,0.9643,0.94,0.84,0.6545,0.94,0.96,0.9818,0.9508,0.9818,0.98,0.68,28,
xlam-3b,xLAM-2-3B,General-Purpose,0.6552,4,131,0.7925,18,958,0.1373,0.8182,0.92,0.94,0.9464,0.44,0.6607,0.8,0.6545,0.7455,0.98,1.0,0.6429,0.94,0.3,0.6909,0.96,0.96,1.0,0.541,0.9455,1.0,0.0,28,
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,0.712,4,131,0.8463,18,958,0.1343,0.8182,0.74,0.76,0.8214,0.78,0.7679,0.8727,0.8545,0.6909,0.96,0.96,0.75,0.9,0.74,0.7455,0.96,0.56,0.9636,0.9508,0.9455,0.98,0.56,28,
mistral-small,Mistral-Small-24B,General-Purpose,0.6864,4,131,0.8189,18,958,0.1325,0.9091,0.88,0.92,1.0,0.78,0.7857,0.9455,0.8727,0.6909,0.8,0.36,0.8393,0.94,0.86,0.5091,0.96,0.96,0.5636,0.3279,0.9818,0.96,0.64,28,
phi-4-mini,Phi-4-mini,General-Purpose,0.0389,4,131,0.1336,18,958,0.0947,0.1091,0.12,0.1,0.0714,0.18,0.0357,0.1091,0.4545,0.0727,0.06,0.08,0.1786,0.06,0.12,0.0727,0.14,0.04,0.1636,0.1311,0.1818,0.08,0.0,28,
xlam-70b,xLAM-2-70B,General-Purpose,0.635,4,131,0.7153,18,958,0.0803,0.7455,0.32,0.94,0.9286,0.64,0.5,0.2182,0.4727,0.5091,0.98,0.96,0.875,0.94,0.9,0.5273,0.7,1.0,0.9818,0.623,0.6545,0.92,0.08,28,
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,0.7843,4,131,0.8337,18,958,0.0494,0.7636,1.0,0.98,0.9286,0.58,0.8571,0.7455,0.9091,0.7091,0.78,1.0,0.9107,0.92,0.72,0.5273,0.92,0.48,0.9636,0.8852,0.7636,1.0,0.8,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,0.812,4,131,0.8604,18,958,0.0484,0.9455,0.96,0.92,0.875,0.88,0.7679,0.9818,0.8909,0.6909,0.84,0.72,0.8393,0.72,0.84,0.5273,0.98,1.0,0.9818,0.8689,0.9455,0.8,0.76,28,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,0.7532,4,131,0.7859,18,958,0.0327,1.0,0.86,0.86,0.9643,0.76,0.8929,0.8909,0.8182,0.6,0.62,0.28,0.9286,0.58,0.24,0.5455,0.9,0.92,0.9636,0.6557,1.0,0.96,0.92,28,
