config_id,label,group,n_scenarios_total,n_t1_fail,n_t1_succ,t1_hit_rate,subseq_hit_after_t1_fail,subseq_hit_after_t1_succ,n_subseq_after_fail,n_subseq_after_succ,recovery_rate_t2,n_t1_fail_with_t2,gap_succ_minus_fail
ax-4.0,A.X-4.0 (72B),Korean-Specialized,50,4,46,0.92,0.8462,0.9103,13,156,1.0,4,0.0641
ax-light,A.X-4.0-Light (7B),Korean-Specialized,50,21,29,0.58,0.2958,0.2755,71,98,0.381,21,-0.0203
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,50,20,30,0.6,0.6957,0.76,69,100,0.5,20,0.0643
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,50,8,42,0.84,0.963,0.8803,27,142,1.0,8,-0.0827
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,50,18,32,0.64,0.7869,0.6574,61,108,0.8333,18,-0.1295
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,50,14,36,0.72,0.8936,0.8852,47,122,0.9286,14,-0.0084
gemma-4-31b,Gemma-4-31B,General-Purpose,50,7,43,0.86,0.913,0.9178,23,146,1.0,7,0.0048
gemma-4-e4b,Gemma-4-E4B,General-Purpose,50,5,45,0.9,0.8235,0.8224,17,152,1.0,5,-0.0011
gpt-oss-120b-nt,gpt-oss-120B (NT),General-Purpose,50,9,41,0.82,0.9355,0.8768,31,138,1.0,9,-0.0587
gpt-oss-120b-t,gpt-oss-120B (T),General-Purpose,50,7,43,0.86,0.875,0.7862,24,145,1.0,7,-0.0888
gpt-oss-20b-nt,gpt-oss-20B (NT),General-Purpose,50,10,40,0.8,0.9444,0.9098,36,133,1.0,10,-0.0346
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,50,10,40,0.8,0.5833,0.7594,36,133,0.8,10,0.1761
hermes-3-8b,Hermes-3-8B,General-Purpose,50,19,31,0.62,0.4127,0.5094,63,106,0.5263,19,0.0967
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,50,14,36,0.72,0.8511,0.8852,47,122,0.7857,14,0.0341
kanana-2-think,Kanana-2-Think,Korean-Specialized,50,4,46,0.92,1.0,0.9167,13,156,1.0,4,-0.0833
llama-3.2-3b,Llama-3.2-3B,General-Purpose,50,21,29,0.58,0.6027,0.5938,73,96,0.7619,21,-0.0089
llama-3.3-70b,Llama-3.3-70B,General-Purpose,50,13,37,0.74,0.9565,0.9431,46,123,1.0,13,-0.0134
ministral-3b,Ministral-3-3B,General-Purpose,50,17,33,0.66,0.6207,0.7297,58,111,0.8235,17,0.109
mistral-small,Mistral-Small-24B,General-Purpose,50,9,41,0.82,0.9062,0.9635,32,137,1.0,9,0.0573
phi-4-mini,Phi-4-mini,General-Purpose,50,43,7,0.14,0.4306,0.4,144,25,0.5349,43,-0.0306
qwen35-27b-nt,Qwen3.5-27B (NT),General-Purpose,50,7,43,0.86,0.9167,0.8966,24,145,1.0,7,-0.0201
qwen35-27b-t,Qwen3.5-27B (T),General-Purpose,50,13,37,0.74,0.8913,0.8293,46,123,1.0,13,-0.062
qwen35-4b-nt,Qwen3.5-4B (NT),General-Purpose,50,11,39,0.78,0.8108,0.8864,37,132,1.0,11,0.0756
qwen35-4b-t,Qwen3.5-4B (T),General-Purpose,50,14,36,0.72,0.92,0.8319,50,119,1.0,14,-0.0881
qwen36-27b,Qwen3.6-27B,General-Purpose,50,12,38,0.76,0.9286,0.8425,42,127,1.0,12,-0.0861
qwen36-35b-a3b,Qwen3.6-35B-A3B,General-Purpose,50,11,39,0.78,0.875,0.8062,40,129,1.0,11,-0.0688
xlam-3b,xLAM-2-3B,General-Purpose,50,15,35,0.7,0.5294,0.5339,51,118,0.8,15,0.0045
xlam-70b,xLAM-2-70B,General-Purpose,50,9,41,0.82,0.9375,0.8394,32,137,0.8889,9,-0.0981
