config_id,label,model,group,n,n_e2e,e2e_absent_reason,oracle_h_mean,e2e_h_mean,drop_h_mean,oracle_a_mean,e2e_a_mean,drop_a_mean,oracle_context_accuracy,e2e_context_accuracy,drop_context_accuracy,oracle_c,e2e_c,drop_c,n_oracle_h_mean,n_e2e_h_mean,n_oracle_a_mean,n_e2e_a_mean,n_oracle_context_accuracy,n_e2e_context_accuracy,n_oracle_c,n_e2e_c
kanana-2-think,Kanana-2-Think,kakaocorp/kanana-2-30b-a3b-thinking-2601,Korean-Specialized,50,0,not run: the end-to-end setting serves 65536 tokens and this model's context window is 32768,0.9224,,,0.7825,,,0.9348,,,0.68,,,219,0,196,0,46,0,50,0
mistral-small,Mistral-Small-24B,mistralai/Mistral-Small-3.2-24B-Instruct-2506,General-Purpose,50,50,,0.9224,0.8904,0.032,0.8111,0.7599,0.0512,0.9348,0.9487,-0.0139,0.72,0.64,0.08,219,219,196,194,46,39,50,50
ax-4.0,A.X-4.0 (72B),skt/A.X-4.0,Korean-Specialized,50,50,,0.9087,0.863,0.0457,0.799,0.6667,0.1323,0.9783,0.9737,0.0046,0.66,0.48,0.18,219,219,196,194,46,38,50,50
gemma-4-31b,Gemma-4-31B,google/gemma-4-31B-it,General-Purpose,50,50,,0.9041,0.895,0.0091,0.8987,0.8331,0.0656,0.9565,0.95,0.0065,0.66,0.62,0.04,219,219,196,194,46,40,50,50
llama-3.3-70b,Llama-3.3-70B,meta-llama/Llama-3.3-70B-Instruct,General-Purpose,50,50,,0.8995,0.8904,0.0091,0.6919,0.6276,0.0643,0.913,0.9143,-0.0013,0.6,0.58,0.02,219,219,196,193,46,35,50,50
gpt-oss-20b-nt,gpt-oss-20B (NT),openai/gpt-oss-20b,General-Purpose,50,50,,0.8904,0.8904,0.0,0.7721,0.7006,0.0715,0.8478,0.8571,-0.0093,0.58,0.6,-0.02,219,219,196,191,46,35,50,50
qwen35-27b-nt,Qwen3.5-27B (NT),Qwen/Qwen3.5-27B,General-Purpose,50,50,,0.8904,0.8676,0.0228,0.8599,0.7979,0.062,0.9783,0.975,0.0033,0.56,0.54,0.02,219,219,196,195,46,40,50,50
dragon-qwen-fin,Qwen-Open-Finance-R-8B,DragonLLM/Qwen-Open-Finance-R-8B,Finance-Specialized,50,0,not run: the end-to-end setting serves 65536 tokens and this model's context window is 40960,0.8813,,,0.7622,,,0.9348,,,0.58,,,219,0,196,0,46,0,50,0
gpt-oss-120b-nt,gpt-oss-120B (NT),openai/gpt-oss-120b,General-Purpose,50,50,,0.8721,0.895,-0.0229,0.858,0.7917,0.0663,0.913,0.9762,-0.0632,0.5,0.56,-0.06,219,219,196,195,46,42,50,50
exaone-32b,EXAONE-4.0-32B,LGAI-EXAONE/EXAONE-4.0-32B,Korean-Specialized,50,50,,0.8493,0.7671,0.0822,0.7399,0.6254,0.1145,0.9348,0.8148,0.12,0.46,0.32,0.14,219,219,196,188,46,27,50,50
