config_id,label,group,n_str_turn,n_produced,n_empty_summary,n_entity_scored,str_production_rate,field_coverage,grounding,terminology,hallucination,str_overall,cov::VII.1 subjects,cov::VII.2 date,cov::VII.3 place,cov::VII.4 instrument,cov::VII.5 method,cov::VII.6 grounds,cov::VII.7 6W summary,cov::overall
ax-4.0,A.X-4.0 (72B),Korean-Specialized,45,32,0,30,0.7111,0.4868,0.5543,0.1445,0.1686,0.3952,0.5938,0.9375,0.3438,0.4688,1.0,0.7188,0.7292,0.6845
ax-light,A.X-4.0-Light (7B),Korean-Specialized,45,0,0,0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,45,29,0,25,0.6444,0.328,0.4593,0.0963,0.1733,0.2945,0.4483,0.7241,0.2759,0.2069,0.8966,0.4138,0.5977,0.509
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,45,41,0,41,0.9111,0.636,0.8226,0.1371,0.0972,0.5319,0.8537,0.9268,0.2439,0.5366,1.0,0.5854,0.7398,0.698
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,45,33,0,28,0.7333,0.3529,0.587,0.1815,0.0565,0.3738,0.3636,0.5455,0.2121,0.2121,0.9394,0.4545,0.6414,0.4812
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,45,42,0,41,0.9333,0.582,0.7652,0.1556,0.1602,0.5009,0.619,0.8571,0.2381,0.381,0.9286,0.619,0.7222,0.6236
gemma-4-31b,Gemma-4-31B,General-Purpose,45,34,0,31,0.7556,0.5497,0.5437,0.2778,0.2108,0.4571,0.8235,0.8529,0.2647,0.5294,0.9706,0.8529,0.799,0.7276
gemma-4-e4b,Gemma-4-E4B,General-Purpose,45,19,0,17,0.4222,0.2614,0.2992,0.0963,0.2081,0.219,0.6842,0.8947,0.2632,0.1053,1.0,0.6842,0.7018,0.6191
gpt-oss-120b-nt,gpt-oss-120B (NT),General-Purpose,45,37,0,37,0.8222,0.6455,0.6148,0.2111,0.2523,0.4905,0.6486,0.9459,0.5135,0.7297,1.0,0.9189,0.7387,0.7851
gpt-oss-120b-t,gpt-oss-120B (T),General-Purpose,45,23,0,23,0.5111,0.3508,0.3714,0.137,0.2734,0.2864,0.5217,0.913,0.3043,0.5652,1.0,0.7826,0.7174,0.6863
gpt-oss-20b-nt,gpt-oss-20B (NT),General-Purpose,45,37,2,34,0.8222,0.3841,0.6052,0.1667,0.199,0.3853,0.2973,0.6486,0.2432,0.1622,0.8108,0.5946,0.5135,0.4672
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,45,18,0,18,0.4,0.272,0.2773,0.0852,0.3067,0.2115,0.5556,1.0,0.2778,0.4444,0.9444,0.8889,0.6482,0.6799
hermes-3-8b,Hermes-3-8B,General-Purpose,45,3,1,1,0.0667,0.0233,0.0222,0.0037,0.0,0.0164,0.3333,0.3333,0.3333,0.3333,0.6667,0.0,0.4444,0.3492
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,45,42,2,40,0.9333,0.6249,0.7144,0.2852,0.1963,0.5415,0.4286,0.9286,0.2381,0.6905,0.9286,0.8095,0.6627,0.6695
kanana-2-think,Kanana-2-Think,Korean-Specialized,45,44,1,28,0.9778,0.2699,0.4778,0.0963,0.2321,0.2813,0.2273,0.3636,0.0227,0.1591,0.3864,0.5,0.2727,0.276
llama-3.2-3b,Llama-3.2-3B,General-Purpose,45,14,0,2,0.3111,0.0741,0.0444,0.037,0.0,0.0518,0.0714,0.3571,0.0714,0.0,0.7857,0.0,0.3809,0.2381
llama-3.3-70b,Llama-3.3-70B,General-Purpose,45,45,2,13,1.0,0.0751,0.2325,0.0667,0.1952,0.1248,0.0,0.0444,0.0,0.0,0.1556,0.2444,0.0815,0.0751
ministral-3b,Ministral-3-3B,General-Purpose,45,14,0,13,0.3111,0.218,0.2667,0.0926,0.0769,0.1924,0.5,0.8571,0.5714,0.6429,1.0,0.5,0.8333,0.7007
mistral-small,Mistral-Small-24B,General-Purpose,45,39,0,39,0.8667,0.5836,0.775,0.1556,0.1058,0.5047,0.7692,1.0,0.359,0.3333,0.9231,0.5385,0.7906,0.6734
