model,model_id,is_outlier,h_KR-KR,p_KR-KR,h_EN-KR,p_EN-KR,h_KR-EN,p_KR-EN,h_EN-EN,p_EN-EN,delta_query_tool_kr,delta_tool_query_kr,delta_both
Gemma-4-31B,google/gemma-4-31B-it,False,0.9205,0.9063,0.9181,0.9201,0.9396,0.9259,0.8744,0.8747,-0.0023999999999999577,0.019100000000000006,-0.04610000000000003
Llama-3.3-70B,meta-llama/Llama-3.3-70B-Instruct,False,0.7647,0.803,0.7703,0.8292,0.8076,0.8391,0.7035,0.7459,0.005599999999999938,0.04289999999999994,-0.06120000000000003
gpt-oss-20B (NT),openai/gpt-oss-20b__nothink,False,0.8243,0.8024,0.7933,0.7945,0.8434,0.8202,0.8037,0.7606,-0.031000000000000028,0.019100000000000006,-0.020600000000000063
gpt-oss-20B (T),openai/gpt-oss-20b__think,False,0.779,0.7995,0.7321,0.7559,0.7313,0.7446,0.6598,0.6667,-0.04690000000000005,-0.047700000000000076,-0.11919999999999997
gpt-oss-120B (NT),openai/gpt-oss-120b__nothink,False,0.8561,0.8659,0.8545,0.8585,0.841,0.8433,0.806,0.7699,-0.0015999999999999348,-0.015100000000000002,-0.05009999999999992
gpt-oss-120B (T),openai/gpt-oss-120b__think,False,0.8426,0.856,0.7846,0.8146,0.7742,0.8004,0.7266,0.7274,-0.05800000000000005,-0.06840000000000002,-0.11599999999999999
Qwen3.5-27B (NT),Qwen/Qwen3.5-27B__nothink,False,0.8784,0.9029,0.872,0.8863,0.9062,0.9347,0.8466,0.828,-0.006399999999999961,0.027800000000000047,-0.03179999999999994
Qwen3.5-27B (T),Qwen/Qwen3.5-27B__think,False,0.8951,0.9395,0.8951,0.9321,0.9086,0.9317,0.868,0.8607,0.0,0.013499999999999956,-0.027100000000000013
Qwen3.6-27B,Qwen/Qwen3.6-27B,False,0.9054,0.9451,0.9054,0.927,0.9094,0.9487,0.8728,0.8824,0.0,0.0040000000000000036,-0.03259999999999996
Qwen3.6-35B-A3B,Qwen/Qwen3.6-35B-A3B,False,0.8855,0.9365,0.9054,0.9129,0.9102,0.9439,0.8768,0.8808,0.01990000000000003,0.024700000000000055,-0.00869999999999993
EXAONE-32B,LGAI-EXAONE/EXAONE-4.0-32B,False,,,,,0.8983,0.8752,0.8728,0.8093,,,
A.X-4.0,skt/A.X-4.0,False,,,,,0.8824,0.8002,0.814,0.7233,,,
