bfcl_name,aml_id,aml_name,bfcl_acc,aml_score
Qwen3.5-27B (Prompt),qwen35-27b-nt,Qwen3.5-27B (NT),48.12,0.9475357710651828
xLAM-2-70b-fc-r (FC),xlam-70b,xLAM-2-70B,48.06,0.6947535771065183
xLAM-2-3b-fc-r (FC),xlam-3b,xLAM-2-3B,40.88,0.739268680445151
Qwen3.5-4B (Prompt),qwen35-4b-nt,Qwen3.5-4B (NT),30.71,0.9054054054054054
Llama-3.3-70B-Instruct (FC),llama-3.3-70b,Llama-3.3-70B,28.8,0.7790143084260731
A.X-4.0 (Prompt),ax-4.0,A.X-4.0 (72B),25.07,0.9054054054054054
Phi-4-mini-instruct (Prompt),phi-4-mini,Phi-4-mini,22.43,0.12003179650238474
Llama-3.2-3B-Instruct (FC),llama-3.2-3b,Llama-3.2-3B,21.34,0.6033386327503975
EXAONE-4.0-32B (Prompt),exaone-32b,EXAONE-4.0-32B,21.29,0.8895071542130366
Hermes-3-Llama-3.1-8B (Prompt),hermes-3-8b,Hermes-3-8B,21.08,0.624006359300477
