config_id,label,group,Transaction Inquiry & Statistics,Suspicious Activity Detection,Money Flow & Network Analysis,Regulatory Reporting,n_cases_Transaction Inquiry & Statistics,n_cases_Suspicious Activity Detection,n_cases_Money Flow & Network Analysis,n_cases_Regulatory Reporting,n_tools_Transaction Inquiry & Statistics,n_tools_Suspicious Activity Detection,n_tools_Money Flow & Network Analysis,n_tools_Regulatory Reporting,n_configs,configs_missing_from_28
dragon-llama-fin,Llama-Open-Finance-8B,Finance-Specialized,0.6477,0.9355,0.8387,0.7532,378,215,365,131,7,4,7,4,28,
dragon-qwen-fin,Qwen-Open-Finance-R-8B,Finance-Specialized,0.7872,0.9045,0.9083,0.812,378,215,365,131,7,4,7,4,28,
gemma-4-31b,Gemma-4-31B,General-Purpose,0.985,0.9855,0.9683,0.9777,378,215,365,131,7,4,7,4,28,
gemma-4-e4b,Gemma-4-E4B,General-Purpose,0.8414,0.8223,0.6449,0.8382,378,215,365,131,7,4,7,4,28,
gpt-oss-120b-nt,gpt-oss-120B (NT),General-Purpose,0.9161,0.9714,0.8927,0.9632,378,215,365,131,7,4,7,4,28,
gpt-oss-120b-t,gpt-oss-120B (T),General-Purpose,0.7953,0.9677,0.8995,0.9398,378,215,365,131,7,4,7,4,28,
gpt-oss-20b-nt,gpt-oss-20B (NT),General-Purpose,0.885,0.9436,0.8919,0.9343,378,215,365,131,7,4,7,4,28,
gpt-oss-20b-t,gpt-oss-20B (T),General-Purpose,0.8382,0.9359,0.8031,0.712,378,215,365,131,7,4,7,4,28,
hermes-3-8b,Hermes-3-8B,General-Purpose,0.5371,0.8023,0.7608,0.2895,378,215,365,131,7,4,7,4,28,
llama-3.2-3b,Llama-3.2-3B,General-Purpose,0.5552,0.7459,0.6161,0.6727,378,215,365,131,7,4,7,4,28,
llama-3.3-70b,Llama-3.3-70B,General-Purpose,0.6839,0.9036,0.8455,0.9086,378,215,365,131,7,4,7,4,28,
ministral-3b,Ministral-3-3B,General-Purpose,0.7804,0.9586,0.8818,0.922,378,215,365,131,7,4,7,4,28,
mistral-small,Mistral-Small-24B,General-Purpose,0.7537,0.8445,0.8694,0.6864,378,215,365,131,7,4,7,4,28,
phi-4-mini,Phi-4-mini,General-Purpose,0.0991,0.22,0.1187,0.0389,378,215,365,131,7,4,7,4,28,
qwen35-27b-nt,Qwen3.5-27B (NT),General-Purpose,0.949,0.995,0.9595,0.9732,378,215,365,131,7,4,7,4,28,
qwen35-27b-t,Qwen3.5-27B (T),General-Purpose,0.9637,0.9818,0.9649,0.9643,378,215,365,131,7,4,7,4,28,
qwen35-4b-nt,Qwen3.5-4B (NT),General-Purpose,0.9045,0.9632,0.9483,0.7954,378,215,365,131,7,4,7,4,28,
qwen35-4b-t,Qwen3.5-4B (T),General-Purpose,0.9293,0.9818,0.9408,0.9598,378,215,365,131,7,4,7,4,28,
qwen36-27b,Qwen3.6-27B,General-Purpose,0.9655,0.9905,0.9675,0.9777,378,215,365,131,7,4,7,4,28,
qwen36-35b-a3b,Qwen3.6-35B-A3B,General-Purpose,0.9509,0.9864,0.9335,0.9777,378,215,365,131,7,4,7,4,28,
xlam-3b,xLAM-2-3B,General-Purpose,0.7202,0.9,0.8034,0.6552,378,215,365,131,7,4,7,4,28,
xlam-70b,xLAM-2-70B,General-Purpose,0.8248,0.7573,0.5818,0.635,378,215,365,131,7,4,7,4,28,
ax-4.0,A.X-4.0 (72B),Korean-Specialized,0.8925,0.9682,0.9247,0.9732,378,215,365,131,7,4,7,4,28,
ax-light,A.X-4.0-Light (7B),Korean-Specialized,0.5541,0.5055,0.6488,0.5682,378,215,365,131,7,4,7,4,28,
exaone-1.2b,EXAONE-4.0-1.2B,Korean-Specialized,0.7455,0.8632,0.6956,0.9052,378,215,365,131,7,4,7,4,28,
exaone-32b,EXAONE-4.0-32B,Korean-Specialized,0.8425,0.9727,0.894,0.9688,378,215,365,131,7,4,7,4,28,
kanana-2-inst,Kanana-2-Instruct,Korean-Specialized,0.8103,0.9091,0.814,0.7843,378,215,365,131,7,4,7,4,28,
kanana-2-think,Kanana-2-Think,Korean-Specialized,0.8612,0.9586,0.8917,0.9821,378,215,365,131,7,4,7,4,28,
